bubble,client,epochs,num_samples,rmse,round,smape,stage,strategy,train_samples
,CA_1_FOODS_1,300,2506,39.82685852050781,,60.304272174835205,personalized,Local,12195
,CA_1_FOODS_2,300,2720,34.282997131347656,,58.191680908203125,personalized,Local,13200
,CA_1_FOODS_3,300,2670,92.63440704345703,,49.08612668514252,personalized,Local,12965
,CA_1_HOBBIES_1,300,2707,29.19502830505371,,45.987504720687866,personalized,Local,13136
,CA_1_HOUSEHOLD_1,300,2173,27.982229232788086,,42.08591878414154,personalized,Local,10634
,CA_1_HOBBIES_2,300,2482,8.549623489379883,,92.79264807701111,personalized,Local,12087
,CA_1_HOUSEHOLD_2,300,2720,8.342825889587402,,71.4393675327301,personalized,Local,13200
,CA_2_FOODS_1,300,2605,34.11000061035156,,50.19413232803345,personalized,Local,12660
,CA_2_FOODS_2,300,2720,14.927191734313965,,66.05864763259888,personalized,Local,13200
,CA_2_FOODS_3,300,2613,70.49738311767578,,57.18029737472534,personalized,Local,12700
,CA_2_HOBBIES_1,300,2720,21.21868133544922,,52.74195671081543,personalized,Local,13200
,CA_2_HOBBIES_2,300,2485,9.928504943847656,,83.25498104095459,personalized,Local,12102
,CA_2_HOUSEHOLD_1,300,2570,23.589406967163086,,44.3139374256134,personalized,Local,12493
,CA_2_HOUSEHOLD_2,300,2533,14.644213676452637,,58.32440257072449,personalized,Local,12327
,CA_3_FOODS_1,300,2505,44.475433349609375,,64.7355318069458,personalized,Local,12189
,CA_3_FOODS_3,300,2670,136.59649658203125,,51.4152467250824,personalized,Local,12965
,CA_3_FOODS_2,300,2720,32.41758728027344,,39.12838101387024,personalized,Local,13200
,CA_3_HOBBIES_1,300,2655,48.58285140991211,,50.61023831367493,personalized,Local,12891
,CA_3_HOBBIES_2,300,2644,10.777174949645996,,80.45603632926941,personalized,Local,12842
,CA_3_HOUSEHOLD_1,300,2231,44.72064971923828,,36.97563409805298,personalized,Local,10904
,CA_4_FOODS_1,300,2450,25.276363372802734,,38.04715573787689,personalized,Local,11935
,CA_3_HOUSEHOLD_2,300,2696,13.556499481201172,,58.911627531051636,personalized,Local,13081
,CA_4_FOODS_2,300,2643,15.860791206359863,,50.526171922683716,personalized,Local,12837
,CA_4_FOODS_3,300,2720,41.10022735595703,,63.216155767440796,personalized,Local,13200
,CA_4_HOBBIES_1,300,2649,26.653751373291016,,47.171610593795776,personalized,Local,12860
,CA_4_HOBBIES_2,300,2567,5.097617149353027,,109.20454263687134,personalized,Local,12478
,CA_4_HOUSEHOLD_2,300,2547,10.760509490966797,,77.04105973243713,personalized,Local,12391
